airport_id,airport_name,city,country,airport_iata,airport_icao,airport_latitude,airport_longitude,airport_altitude,airport_timezone,
7278,Camaguey-Campo Cuatro Milpas Airport,Guasave,Mexico,UNKNOWN,MM52,25.6522007,-108.538002,92,-7,A
7280,Cabo San Lucas International Airport,Cabo San Lucas,Mexico,UNKNOWN,MMSL,22.9477005,-109.9369965,459,-7,A
7291,Corn Island,Corn Island,Nicaragua,RNI,MNCI,12.16289997,-83.063797,1,-6,U
7292,San Pedro Airport,Bonanza,Nicaragua,BZA,MNBZ,13.94999981,-84.59999847,600,-6,U
7293,Rosita Airport,Rosita,Nicaragua,RFS,MNRT,13.88969994,-84.4088974,193,-6,U
7294,Siuna,Siuna,Nicaragua,SIU,MNSI,13.72722244,-84.77777863,606,-6,U
7295,Waspam Airport,Waspam,Nicaragua,WSP,MNWP,14.73919964,-83.9693985,98,-6,U
7296,San Carlos,San Carlos,Nicaragua,UNKNOWN,MNSC,11.13339996,-84.76999664,91,-6,U
7297,Playa Samara/Carrillo Airport,Carrillo,Costa Rica,PLD,MRCR,9.870510101,-85.48139954,50,-6,U
7301,Constanza - Expedición 14 de Junio National Airport,Constanza,Dominican Republic,COZ,MDCZ,18.90749931,-70.72190094,3950,-4,U
7302,Negril Airport,Negril,Jamaica,NEG,MKNG,18.34280014,-78.33209991,9,-5,U
7307,José Aponte de la Torre Airport,Ceiba,Puerto Rico,RVR,TJRV,18.24530029,-65.6434021,38,-4,A
7309,Charlotte Amalie Harbor Seaplane Base,Charlotte Amalie,Virgin Islands,SPB,VI22,18.33860016,-64.94069672,0,-4,A
7311,D. Casimiro Szlapelis Airport,Alto Rio Senguer,Argentina,ARR,SAVR,-45.013599,-70.812202,2286,-3,N
7312,Jose De San Martin Airport,Jose de San Martin,Argentina,JSM,SAWS,-44.04859924,-70.45890045,2407,-3,N
7313,Uyuni Airport,Uyuni,Bolivia,UYU,SLUY,-20.44630051,-66.8483963,11136,-4,U
7320,Abaiang Airport,Abaiang Atoll,Kiribati,ABF,NGAB,1.798609972,173.0410004,0,12,U
7323,Afobakka Airstrip,Afobaka,Suriname,UNKNOWN,SMAF,4.998505,-54.992033,80,-3,U
7324,Alalapadu Airstrip,Alapadu,Suriname,UNKNOWN,SMDU,2.5235,-56.3247,880,-3,U
7325,Albina Airport,Albina,Suriname,ABN,SMBN,5.512720108,-54.05009842,19,-3,U
7330,Drietabbetje Airport,Drietabbetje,Suriname,DRJ,SMDA,4.116666794,-54.66667175,236,-3,U
7331,Kabalebo Airport,Kabalebo,Suriname,UNKNOWN,SMKA,4.406000137,-57.22299957,535,-3,U
7332,Kayser Airport,Kayser,Suriname,UNKNOWN,SMKE,3.099999905,-56.48300171,849,-3,U
7333,Kwamalasoemoetoe Airport Airport,Kwamelasemoetoe,Suriname,UNKNOWN,SMSM,2.333329916,-56.78333282,905,-3,U
7334,Moengo Airstrip,Moengo,Suriname,UNKNOWN,SMMO,5.6076,-54.4003,49,-3,U
7335,Nieuw Nickerie Airport,Nieuw Nickerie,Suriname,ICK,SMNI,5.955560207,-57.03939819,9,-3,U
7336,Vincent Fayks Airport,Paloemeu,Suriname,OEM,SMPA,3.345279932,-55.44250107,714,-3,U
7338,Sipaliwini Airport,Sipaliwini,Suriname,UNKNOWN,SMSI,1.966050029,-56.00350189,744,-3,U
7339,Stoelmanseiland Airport,Stoelmans Eiland,Suriname,SMZ,SMST,4.349999905,-54.41666794,187,-3,U
7340,Totness Airport,Totness,Suriname,TOT,SMCO,5.865829945,-56.32749939,10,-3,U
7341,Wageningen Airstrip,Wageningen,Suriname,AGI,SMWA,5.766666889,-56.6333313,6,-3,U
7343,Codela Airport,Guapiles,Costa Rica,CSC,MRCA,10.41399956,-85.09169769,328,-6,U
7346,Orinduik Airport,Orinduik,Guyana,ORJ,SYOR,4.725269794,-60.03499985,1797,-4,U
7347,Annai Airport,Annai,Guyana,NAI,SYAN,3.959439993,-59.12419891,301,-4,U
7348,Apoteri Airport,Apoteri,Guyana,UNKNOWN,SYAP,4.013879776,-58.60499954,301,-4,U
7349,Imbaimadai Airport,Imbaimadai,Guyana,IMB,SYIB,5.708109856,-60.2942009,1646,-4,U
7350,Kamarang Airport,Kamarang,Guyana,KAR,SYKM,5.865340233,-60.61420059,1601,-4,U
7351,Mabaruma Airport,Mabaruma,Guyana,USI,SYMB,8.199999809,-59.78329849,45,-4,U
